Date,Open,High,Low,Close,Adj Close,Volume
2014-06-18,11.780000,11.780000,11.580000,11.780000,9.976962,2830400
2014-06-19,11.820000,11.930000,11.490000,11.500000,9.739820,3330800
2014-06-20,11.500000,11.590000,11.450000,11.580000,9.807575,4280300
2014-06-23,11.570000,11.720000,11.520000,11.620000,9.841452,2806600
2014-06-24,11.590000,11.820000,11.470000,11.750000,9.951554,4539400
2014-06-25,11.730000,11.760000,11.500000,11.670000,9.883801,3804100
2014-06-26,11.660000,11.680000,11.300000,11.490000,9.731351,4211300
2014-06-27,11.500000,11.630000,11.390000,11.550000,9.782165,18306800
2014-06-30,11.410000,11.510000,11.130000,11.220000,9.606645,5281300
2014-07-01,11.270000,11.480000,11.250000,11.320000,9.692264,4257800
2014-07-02,11.300000,11.380000,11.120000,11.160000,9.555272,3689500
2014-07-03,11.230000,11.380000,11.220000,11.300000,9.675140,2865200
2014-07-07,11.310000,11.340000,11.120000,11.130000,9.529585,3011800
2014-07-08,11.160000,11.390000,10.990000,11.200000,9.589519,4280700
2014-07-09,11.190000,11.280000,11.070000,11.160000,9.555272,2650800
2014-07-10,10.970000,11.060000,10.880000,10.910000,9.341219,3058600
2014-07-11,10.900000,10.900000,10.730000,10.750000,9.204226,2271400
2014-07-14,10.840000,10.850000,10.620000,10.640000,9.110044,2654500
2014-07-15,10.660000,10.670000,10.480000,10.510000,8.998738,3839000
2014-07-16,10.580000,10.650000,10.380000,10.500000,8.990172,3571300
2014-07-17,10.470000,10.590000,10.410000,10.510000,8.998738,3477600
2014-07-18,10.520000,10.730000,10.460000,10.720000,9.178539,3036400
2014-07-21,10.670000,10.750000,10.430000,10.510000,8.998738,2815500
2014-07-22,10.530000,10.620000,10.340000,10.430000,8.930241,4069600
2014-07-23,10.480000,10.500000,10.310000,10.440000,8.938802,3258600
2014-07-24,10.440000,10.710000,10.440000,10.590000,9.067231,5542900
2014-07-25,10.540000,10.650000,10.360000,10.390000,8.895992,2369200
2014-07-28,10.390000,10.430000,10.180000,10.280000,8.801809,6123900
2014-07-29,10.290000,10.600000,10.280000,10.510000,8.998738,3744900
2014-07-30,10.600000,10.830000,10.520000,10.800000,9.247038,3736600
2014-07-31,10.730000,10.850000,10.520000,10.660000,9.127168,3490300
2014-08-01,10.660000,10.690000,10.200000,10.360000,8.870305,4745000
2014-08-04,10.410000,10.440000,10.200000,10.420000,8.921679,3969800
2014-08-05,10.400000,10.900000,10.300000,10.860000,9.298411,5112700
2014-08-06,10.830000,11.140000,10.780000,11.010000,9.426840,5804800
2014-08-07,11.090000,11.310000,10.980000,11.040000,9.452527,5161000
2014-08-08,11.080000,11.410000,11.080000,11.370000,9.735074,4162700
2014-08-11,11.390000,11.520000,11.260000,11.320000,9.692264,2446700
2014-08-12,11.250000,11.320000,11.080000,11.180000,9.572394,3308300
2014-08-13,11.180000,11.210000,10.840000,10.960000,9.384028,3282900
2014-08-14,10.970000,10.970000,10.580000,10.790000,9.238474,5559000
2014-08-15,10.840000,10.860000,10.630000,10.720000,9.178539,3880300
2014-08-18,10.810000,11.250000,10.780000,11.140000,9.538147,7168200
2014-08-19,11.230000,11.630000,11.230000,11.590000,9.923440,10948800
2014-08-20,12.580000,13.080000,12.210000,12.980000,11.113570,31643000
2014-08-21,13.150000,13.430000,13.060000,13.320000,11.404679,12423700
2014-08-22,13.320000,13.530000,13.180000,13.460000,11.524549,5631600
2014-08-25,13.490000,13.700000,13.300000,13.660000,11.695791,5864900
2014-08-26,13.670000,14.030000,13.560000,13.980000,11.969774,8834200
2014-08-27,13.990000,14.240000,13.970000,14.190000,12.149577,7114700
2014-08-28,13.850000,14.080000,13.680000,14.030000,12.012588,7598000
2014-08-29,14.020000,14.150000,13.850000,14.080000,12.055397,5285200
2014-09-02,14.130000,14.250000,13.960000,14.120000,12.089647,4498000
2014-09-03,14.160000,14.340000,14.020000,14.140000,12.106769,4375500
2014-09-04,14.140000,14.490000,14.120000,14.400000,12.329382,5773500
2014-09-05,14.260000,14.310000,13.810000,14.140000,12.106769,7242800
2014-09-08,14.070000,14.240000,13.790000,13.880000,11.884153,6962000
2014-09-09,13.820000,13.940000,13.700000,13.740000,11.764285,5395200
2014-09-10,13.710000,13.870000,13.520000,13.710000,11.738600,4209400
2014-09-11,13.690000,13.910000,13.640000,13.890000,11.892718,3434400
2014-09-12,13.890000,13.960000,13.650000,13.710000,11.738600,3549900
2014-09-15,13.690000,13.800000,13.450000,13.470000,11.533110,4523300
2014-09-16,13.770000,14.390000,13.640000,14.150000,12.115330,8195000
2014-09-17,14.070000,14.200000,13.780000,14.020000,12.004024,4857600
2014-09-18,14.120000,14.480000,14.060000,14.430000,12.355070,4979200
2014-09-19,14.730000,14.990000,14.340000,14.450000,12.372191,9019300
2014-09-22,14.400000,14.460000,14.090000,14.130000,12.098206,4298800
2014-09-23,14.200000,14.960000,14.150000,14.660000,12.551998,6303000
2014-09-24,14.620000,14.810000,14.280000,14.790000,12.663304,6364900
2014-09-25,14.720000,14.780000,14.360000,14.390000,12.320821,4109200
2014-09-26,14.410000,14.710000,14.410000,14.670000,12.560558,3730400
2014-09-29,14.460000,15.110000,14.440000,14.810000,12.789404,8166600
2014-09-30,14.770000,14.780000,14.520000,14.520000,12.538970,5430800
2014-10-01,14.510000,14.510000,14.000000,14.170000,12.236721,5388100
2014-10-02,14.130000,14.490000,13.980000,14.400000,12.435342,4708200
2014-10-03,14.520000,14.780000,14.360000,14.470000,12.495790,4189100
2014-10-06,14.520000,14.520000,14.100000,14.170000,12.236721,3262000
2014-10-07,14.040000,14.380000,13.910000,14.050000,12.133095,4752400
2014-10-08,14.070000,14.610000,14.010000,14.580000,12.590783,4521300
2014-10-09,14.420000,14.670000,14.140000,14.190000,12.253991,4889600
2014-10-10,14.130000,14.270000,13.830000,14.000000,12.089914,4010000
2014-10-13,13.950000,14.370000,13.880000,13.920000,12.020830,4253400
2014-10-14,14.070000,14.530000,14.020000,14.330000,12.374892,4496600
2014-10-15,14.190000,14.340000,13.790000,14.070000,12.150366,5383300
2014-10-16,13.820000,14.430000,13.760000,14.240000,12.297171,4721000
2014-10-17,14.320000,14.320000,13.480000,13.710000,11.839481,6693800
2014-10-20,13.680000,13.870000,13.270000,13.550000,11.701310,6713100
2014-10-21,13.720000,13.860000,13.440000,13.630000,11.770396,4702200
2014-10-22,13.660000,13.860000,13.460000,13.470000,11.632225,3320200
2014-10-23,13.570000,13.910000,13.540000,13.800000,11.917203,4646600
2014-10-24,13.260000,13.290000,12.600000,12.920000,11.157266,12803400
2014-10-27,12.840000,13.000000,12.670000,12.920000,11.157266,6648000
2014-10-28,12.870000,13.110000,12.520000,13.040000,11.260893,7365700
2014-10-29,13.020000,13.200000,12.800000,12.910000,11.148629,3449900
