date,close,volume,open,high,low
13/06/2019,73.04,30667,74.01,74.01,72.93
12/06/2019,73.35,75290,73.84,73.94,73.1
11/06/2019,74.57,87025,75,75.25,74.54
10/06/2019,74.4,364753,73.71,74.47,73.4775
07/06/2019,72.1,214048,70.56,72.1,70.56
06/06/2019,70.35,264668,70.14,70.35,70.1
05/06/2019,70,26050,71.2,71.2,69.82
04/06/2019,70.798,178162,69.22,70.798,69.22
03/06/2019,68.915,389817,68.25,69.05,68.25
31/05/2019,67.75,837902,67.21,68.05,67.21
30/05/2019,67.56,82183,67.76,67.86,67.51
29/05/2019,68.45,15228,68.53,68.67,68.14
28/05/2019,68.69,17500,68.4,69.2,68.4
24/05/2019,66.365,40002,67.27,67.27,65.98
23/05/2019,64.89,165802,65.09,65.16,64.78
22/05/2019,66.4,84921,66.59,66.59,66.28
21/05/2019,67.5,144394,67.51,67.6,67.12
20/05/2019,66.3,178915,66.73,66.76,66.2
17/05/2019,68,15483,67.91,68.16,67.61
16/05/2019,69.4,39937,68.51,69.72,68.51
15/05/2019,69.528,13047,69.58,69.86,69.3
14/05/2019,68.41,162798,68.23,68.41,67.33
13/05/2019,66.66,14616,67.51,67.51,66.37
10/05/2019,67.205,9342,67,67.6,66.57
09/05/2019,67.03,14119,66.11,67.03,66.09
08/05/2019,66.63,27810,66.72,66.88,66.56
07/05/2019,67.65,23572,68.67,68.72,67.65
06/05/2019,65.99,7338,64.462,66.11,64.4
03/05/2019,66.16,8421,66.25,66.4,65.65
02/05/2019,65.7,9689,66.5,66.64,65.7
01/05/2019,66.25,5737,65.96,66.55,65.75
30/04/2019,66.625,10103,65.95,66.75,65.95
29/04/2019,66.385,9619,65.29,66.57,65.29
26/04/2019,65.7,16729,65.145,66.5,65.145
25/04/2019,65.315,9715,65.16,65.43,65.01
24/04/2019,64.1,10801,65.23,65.23,63.89
23/04/2019,65.51,20647,64.7,65.51,64.7
22/04/2019,65.37,16722,64.83,65.37,64.83
18/04/2019,66.5,21379,66.355,66.71,66.16
17/04/2019,67.35,71246,67.19,67.66,67.06
16/04/2019,66.15,35863,66.322,66.37,66.02
15/04/2019,64.88,19849,65.17,65.34,64.88
12/04/2019,65.35,23356,65.632,65.72,65.33
11/04/2019,65.315,26683,65.21,65.5,65.12
10/04/2019,66.29,28093,66.175,66.38,65.96
09/04/2019,66.37,28422,66.8,66.8,66.37
08/04/2019,66.69,18758,66.92,66.92,66.47
05/04/2019,67.57,18145,67.12,67.77,67.12
04/04/2019,66.36,8262,66.49,66.52,66.34
03/04/2019,67.455,6900,68.04,68.04,67.29
02/04/2019,67.01,10472,67.32,67.32,66.84
01/04/2019,66.335,15254,66,66.37,65.88
29/03/2019,64.865,18723,65.13,65.13,64.58
28/03/2019,64.59,8977,64.8,64.8,62.97
27/03/2019,64.55,88017,62.44,65.2,62.44
26/03/2019,64.535,28958,64.819,65.16,64.38
25/03/2019,64.53,34941,64,64.53,64
22/03/2019,64.39,10091,65,65.12,64.39
21/03/2019,64.76,69723,64.7,64.89,64.685
20/03/2019,64.44,21499,65.96,65.96,64.36
19/03/2019,64.06,36150,64.45,64.63,64.056
18/03/2019,62.51,31975,61.98,63.58,61.98
15/03/2019,60.94,19919,60.7,61.08,60.7
14/03/2019,60.61,11235,60.45,60.72,60.45
13/03/2019,61.13,123609,60.995,61.18,60.98
12/03/2019,61.99,19405,62.22,62.34,61.89
11/03/2019,60.55,20046,59.176,60.55,59.176
08/03/2019,57.5,58135,56.85,57.5,56.28
07/03/2019,57.365,16391,57.95,57.95,57.2
06/03/2019,59.19,12970,59.19,59.19,59.04
05/03/2019,59.355,10527,59.37,59.57,59.18
04/03/2019,60.21,16993,60,60.65,60
01/03/2019,60.09,17081,60.32,60.32,59.78
28/02/2019,60.18,21885,60.305,60.44,60.16
27/02/2019,61.9,32141,62.16,62.22,61.64
26/02/2019,62.9,10667,62.6,63.0878,62.58
25/02/2019,63.46,14738,63.31,63.546,63.23
22/02/2019,62.53,13788,62.6,62.6,62.13
21/02/2019,62.51,117638,63,63,62.35
20/02/2019,63,16106,62.61,63.08,62.61
19/02/2019,63.53,18534,62.86,63.54,62.86
15/02/2019,62.37,121791,62.03,62.45,61.85
14/02/2019,61.865,236295,61.01,62.13,61.01
13/02/2019,62.38,16417,62.37,62.45,62.09
12/02/2019,62.37,18913,61.08,62.42,61.08
11/02/2019,61.5,35656,61.309,61.69,61.25
08/02/2019,61.21,16744,59.62,61.66,59.62
07/02/2019,63.09,21841,63.43,63.43,62.985
06/02/2019,64.39,28716,64.4,64.47,64.14
05/02/2019,62.835,17210,62.73,62.91,62.61
04/02/2019,64.2625,22410,63.81,64.36,63.81
01/02/2019,63.81,26935,62.99,63.94,62.96
31/01/2019,62.93,29333,62.6,62.93,62.22
30/01/2019,62.97,23622,61.992,63.06,61.96
29/01/2019,61.78,42085,61.95,62.06,61.67
28/01/2019,62.28,54384,62.99,62.99,61.84
25/01/2019,61.955,16035,61.97,62.15,61.87
24/01/2019,62.05,27665,62,62.19,61.62
23/01/2019,61.795,26446,62.38,62.46,61.5
22/01/2019,62.375,47563,64.17,64.17,62.08
18/01/2019,64.63,50589,64.26,64.85,64.1
17/01/2019,63.875,40479,63.3,64.01,63.29
16/01/2019,64.4,57755,64.64,64.7,64.1
15/01/2019,65.545,61921,65.82,65.82,65.19
14/01/2019,61.285,96958,61.44,61.46,60.82
11/01/2019,61.585,45413,60.86,61.69,60.86
10/01/2019,57.915,33654,56.02,57.94,56.02
09/01/2019,56.985,23582,56.415,57.2,56.415
08/01/2019,56.52,65880,56.4,56.63,56.08
07/01/2019,55.885,44119,55.59,56.31,55.39
04/01/2019,54.7,38035,53.29,54.9,53.25
03/01/2019,52.355,40420,52.84,52.85,51.94
02/01/2019,53.29,49617,52.19,53.45,52.19
31/12/2018,52.96,137646,53.1,53.46,52.77
28/12/2018,53,83142,53.92,53.92,52.79
27/12/2018,52.835,71251,52,52.835,51.29
26/12/2018,52.905,65268,52,53.12,51.25
24/12/2018,52.015,37351,52.98,52.98,51.95
21/12/2018,53.27,66540,53.9,54,52.89
20/12/2018,54.72,56143,54.37,54.94,53.95
19/12/2018,54.7,54059,55.525,56.24,54.41
18/12/2018,55.805,66870,55.72,56.26,55.54
17/12/2018,55.765,65369,58.05,58.05,55.42
14/12/2018,56.87,184985,57.47,57.61,56.85
13/12/2018,57.52,43358,57.67,57.96,57.37
12/12/2018,58.09,29647,57.67,58.81,57.67
11/12/2018,57.06,68398,56.755,57.67,56.51
10/12/2018,58.035,77393,57.82,58.18,57.08
07/12/2018,56.13,69080,56.77,57,55.84
06/12/2018,57.3,164136,57.61,57.61,55.905
04/12/2018,57.01,57455,58.38,58.68,56.92
03/12/2018,60.28,34610,60.25,60.62,60.13
30/11/2018,58.27,24581,57.69,58.38,57.69
29/11/2018,58.4,31080,58.294,58.63,58.2
28/11/2018,58.64,40874,57.765,58.76,57.566
27/11/2018,58.48,60219,58.09,58.64,58.09
26/11/2018,57.965,38578,57.802,58.02,57.66
23/11/2018,57.9,14099,56.71,57.9,56.71
21/11/2018,58.31,32079,56.53,58.49,56.52
20/11/2018,56.205,40841,56.41,56.84,56.06
19/11/2018,58.46,31698,58.62,58.98,58.15
16/11/2018,59.79,21672,59.37,60.07,59.3
15/11/2018,59.54,32225,58.92,59.73,58.905
14/11/2018,59.04,24940,59.2,59.57,58.63
13/11/2018,58.985,38487,59.258,59.78,58.82
12/11/2018,59.85,32050,59.76,60.15,59.65
09/11/2018,60.335,17322,61.57,61.57,60.08
08/11/2018,62.86,23055,62.32,63.63,62.32
07/11/2018,63.63,85752,61.88,63.63,61.88
06/11/2018,61.785,115088,61.76,61.89,61.3107
05/11/2018,62.3,28924,61.97,62.48,61.97
02/11/2018,61.97,28019,62.405,62.49,61.47
01/11/2018,61.67,33320,61.3,61.84,61.15
